ID;"Product name";"Product price";"Product retailer price";PZN;"Product description";"Product short-name";"Product category";"Product stock level";"Product discounted price";"Discount in %";"Discount absolute";"Keywords EXACT";"Keywords PHRASE";"Keywords BROAD";"Link to Product image";"Link to Product";Tags;"Active/Not Active"
AT-P2673714-20ML;"Bach Original Rescue Spray";"16,53 EUR";"19,48 EUR";2673714;"Die natürliche Hilfe in aufregenden Situationen, nur 4 Stück lagernd";"Bach Original Rescue Spray";"Beruhigung, Schlaf & Nerven > Naturheilmittel > Bach Original > Körperpflege > Entspannung > Schlaf > leistungssteigernde Mittel > Nahrungsergänzungsmittel";4;"16,53 EUR";18%;"2,95 EUR";"Bach Original Rescue,Bach Original Rescue Spray";"Bach Original Rescue kaufen,Bach Original Rescue Spray kaufen";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P2673714-20ML-18267668.jpg;https://www.vamida.at/bach-original-rescue-spray.html;onSale;Active
AT-P1130130-20ML;"Exoderil 1% Lösung";"9,69 EUR";"13,15 EUR";1130130;"Exoderil 1% heilt rasch Pilzerkrankungen der Füße,, nur 11 Stück lagernd";"Exoderil 1% Lösung";"Haut, Haare & Nägel > Körperpflege > Haut Haare & Nägel";11;"9,69 EUR";36%;"3,46 EUR";"Exoderil,Exoderil Lösung";"Exoderil kaufen,Exoderil Lösung kaufen";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P1130130-20ML-18263576.jpg;https://www.vamida.at/exoderil-1-losung.html;onSale;Active
AT-P3886323-20ST;"Dr. Kottas Frauentee";"3,79 EUR";"4,80 EUR";3886323;"Hochwertige Kräuterteemischung für die Wechseljahre, nur 3 Stück lagernd";"Dr. Kottas Frauentee";"Für Sie & Ihn > Die Frau in den Wechseljahren > Dr. Kottas > Frauengesundheit > Schwangerschaft > gesunde Nahrungsmittel";3;"3,79 EUR";27%;"1,01 EUR";"Dr. Kottas,Dr. Kottas Frauentee";"Dr. Kottas kaufen,Dr. Kottas Frauentee kaufen";"Dr. Kottas Frauentee, Frauentee";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3886323-20ST-18172378.jpg;https://www.vamida.at/dr-kottas-frauentee-20st.html;onSale;Active
AT-P3886375-20ST;"Dr. Kottas Anis-Fencheltee";"3,79 EUR";"4,80 EUR";3886375;"Dr. Kottas Anis- Fencheltee ist gut für die Verdauung, versandfrei ab 45 €";"Dr. Kottas Anis-Fencheltee";"Magen & Darm > Dr. Kottas > Körperpflege > Verdauung > gesunde Nahrungsmittel";0;"3,79 EUR";27%;"1,01 EUR";"Dr. Kottas,Dr. Kottas Anis-Fencheltee";"Dr. Kottas kaufen,Dr. Kottas Anis-Fencheltee kaufen";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3886375-20ST-18171385.jpg;https://www.vamida.at/dr-kottas-anis-fencheltee.html;onSale;Active
AT-P3886607-20ST;"Dr. Kottas Fencheltee";"2,62 EUR";"3,90 EUR";3886607;"Kräutertee zur Unterstützung der Verdauung, nur 2 Stück lagernd";"Dr. Kottas Fencheltee";"Magen & Darm > Dr. Kottas > Abverkauf > Schwangerschaft > Babys und Kinder > Verdauung > gesunde Nahrungsmittel";2;"2,62 EUR";49%;"1,28 EUR";"Dr. Kottas,Dr. Kottas Fencheltee";"Dr. Kottas kaufen,Dr. Kottas Fencheltee kaufen";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3886607-20ST-18170707.jpg;https://www.vamida.at/dr-kottas-fencheltee.html;onSale;Active
AT-P3784901-16ST;"Paradolor Erdbeer-Vanille 250mg";"4,16 EUR";"6,25 EUR";3784901;"Der Schmerz-Stick mit dem Wirkungs-Kick, versandfrei ab 45 €";"Paradolor Erdbeer-Vanille";"Schmerzen & Verletzungen > Kinder & Jugendliche > Paradolor > Stada Arzneimittel > Erkältung > Frauengesundheit > Schmerzmittel > Babys und Kinder";0;"4,16 EUR";50%;"2,09 EUR";"Paradolor,Paradolor Erdbeer-Vanille";"Paradolor kaufen,Paradolor Erdbeer-Vanille kaufen";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3784901-16ST-18235735.jpg;https://www.vamida.at/paradolor-erdbeer-vanille-250mg.html;onSale;Active
AT-P3784918-16ST;"Paradolor Erdbeer-Vanille 500mg";"5,42 EUR";"7,95 EUR";3784918;"Der Schmerz-Stick mit dem Wirkungs-Kick für unterwegs, nur 5 Stück lagernd";"Paradolor Erdbeer-Vanille";"Schmerzen & Verletzungen > Paradolor > Stada Arzneimittel > Erkältung > Frauengesundheit > Schmerzmittel";5;"5,42 EUR";47%;"2,53 EUR";"Paradolor,Paradolor Erdbeer-Vanille";"Paradolor kaufen,Paradolor Erdbeer-Vanille kaufen";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3784918-16ST-18235933.jpg;https://www.vamida.at/paradolor-erdbeer-vanille-500mg.html;onSale;Active
AT-P2386392-1ST;"Xenofit Heisses C";"7,35 EUR";"8,50 EUR";2386392;"Xenofit - der tägliche Vitamin „Kick“, versandfrei ab 45 €";"Xenofit Heisses C";"Nahrungsergänzung & Vitalität > Verla > Abverkauf > Nahrungsergänzungsmittel";0;"7,35 EUR";16%;"1,15 EUR";"Xenofit,Xenofit Heisses C";"Xenofit kaufen,Xenofit Heisses C kaufen";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P2386392-1ST-18210222.jpg;https://www.vamida.at/xenofit-heisses-c.html;onSale;Active
AT-P3478191-30ST;"Macalvit Orange Brausetabletten";"12,19 EUR";"14,60 EUR";3478191;"Für gesunde Knochen und Zähne, versandfrei ab 45 €";"Macalvit Orange";"Nahrungsergänzung & Vitalität > Nahrungsergänzungsmittel";0;"12,19 EUR";20%;"2,41 EUR";"Macalvit Orange,Macalvit Orange Brausetabletten";"Macalvit Orange kaufen,Macalvit Orange Brausetabletten kaufen";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3478191-30ST-17722769.jpg;https://www.vamida.at/macalvit-orange-brausetabletten.html;onSale;Active
AT-P3393678-60ST;"Liposinol plus ";"32,96 EUR";"39,50 EUR";3393678;"Natürliche Fettbinder mit 3-fach Wirkung und Vitaminen, nur 3 Stück lagernd";"Liposinol plus";"Abnehmen & Diät > Abnehmen > homöopathische Mittel";3;"32,96 EUR";20%;"6,54 EUR";"Liposinol plus";"Liposinol plus kaufen";;https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/A/T/AT-P3393678-60ST-17722570.jpg;https://www.vamida.at/liposinol-plus.html;onSale;Active
