ID;"Product name";"Product price";"Product retailer price";PZN;"Product description";"Product short-name";"Product category";"Product stock level";"Product discounted price";"Discount in %";"Discount absolute";"Adwords keywords";"Link to Product image";"Link to Product";Tags;"Active/Not Active"
AT-P2262968-250G;"Schüßler Salz Nr. 12 Calcium sulfuricum 250G";"12.99 EUR";"14.60 EUR";2262968;"Heilenden Eigenschaften der Mineralien nutzen!";"Schüßler Salz Nr. 12";"Schüßler Mineralstoffe > Schüßler-Salze > Erkältung";3;"12.99 EUR";12%;"1.61 EUR";"Schüßler Salz Nr. 12";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._12_250g.jpg;https://www.vamida.de/schussler-salz-nr-12-calcium-sulfuricum-250g.html;onSale;Active
AT-P2262939-100G;"Schüßler Salz Nr. 12 Calcium sulfuricum 100G";"6.91 EUR";"7.75 EUR";2262939;"Heilenden Eigenschaften der Mineralien nutzen!";"Schüßler Salz Nr. 12";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Erkältung";1;"6.91 EUR";12%;"0.84 EUR";"Schüßler Salz Nr. 12";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._12_100g_1.jpg;https://www.vamida.de/schussler-salz-nr-12-calcium-sulfuricum-100g.html;onSale;Active
AT-P2262833-250G;"Schüßler Salz Nr. 11 Silicea 250G";"12.43 EUR";"14.60 EUR";2262833;"Schüssler Salz für Haut, Haare und Nägel";"Schüßler Salz Nr. 11";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Haut Haare & Nägel";2;"12.43 EUR";17%;"2.17 EUR";"Schüßler Salz Nr. 11";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._11_250g.jpg;https://www.vamida.de/schussler-salz-nr-11-silicea-250g.html;onSale;Active
AT-P2262804-100G;"Schüßler Salz Nr. 11 Silicea 100G";"6.86 EUR";"7.75 EUR";2262804;"Schüssler Salz für Haut, Haare und Nägel";"Schüßler Salz Nr. 11";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Haut Haare & Nägel";1;"6.86 EUR";13%;"0.89 EUR";"Schüßler Salz Nr. 11";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._11_100g_1.jpg;https://www.vamida.de/schussler-salz-nr-11-silicea-100g.html;onSale;Active
AT-P2262690-250G;"Schüßler Salz Nr. 10 Natrium sulfuricum 250G";"12.92 EUR";"14.60 EUR";2262690;"Leber mit Schüssler Salzen unterstützen!";"Schüßler Salz Nr. 10";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Abnehmen";4;"12.92 EUR";13%;"1.68 EUR";"Schüßler Salz Nr. 10";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._10_250g.jpg;https://www.vamida.de/schussler-salz-nr-10-natrium-sulfuricum-250g.html;onSale;Active
AT-P2262661-100G;"Schüßler Salz Nr. 10 Natrium sulfuricum 100G";"6.86 EUR";"7.75 EUR";2262661;"Leber mit Schüssler Salzen unterstützen!";"Schüßler Salz Nr. 10";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Abnehmen";5;"6.86 EUR";13%;"0.89 EUR";"Schüßler Salz Nr. 10";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._10_100g_1.jpg;https://www.vamida.de/schussler-salz-nr-10-natrium-sulfuricum-100g.html;onSale;Active
AT-P2262566-250G;"Schüßler Salz Nr. 9 Natrium phosphoricum 250G";"12.86 EUR";"14.60 EUR";2262566;"Das Salz des Stoffwechsels";"Schüßler Salz Nr. 9";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Haut Haare & Nägel > Verdauung > leistungssteigernde Mittel";4;"12.86 EUR";14%;"1.74 EUR";"Schüßler Salz Nr. 9";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._9_250g.jpg;https://www.vamida.de/schussler-salz-nr-9-natrium-phosphoricum-250g.html;onSale;Active
AT-P2262626-100G;"Schüßler Salz Nr. 9 Natrium phosphoricum 100G";"6.86 EUR";"7.75 EUR";2262626;"Das Salz des Stoffwechsels";"Schüßler Salz Nr. 9";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Haut Haare & Nägel > Verdauung > leistungssteigernde Mittel";1;"6.86 EUR";13%;"0.89 EUR";"Schüßler Salz Nr. 9";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._9_100g_1.jpg;https://www.vamida.de/schussler-salz-nr-9-natrium-phosphoricum-100g.html;onSale;Active
AT-P2262402-250G;"Schüßler Salz Nr. 8 Natrium chloratum 250G";"12.92 EUR";"14.60 EUR";2262402;"Essentielles Mineralsalz mit vielseitigen Wirkeigenschaften!";"Schüßler Salz Nr. 8";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Erkältung > Schmerzmittel > Herz-Kreislauf";4;"12.92 EUR";13%;"1.68 EUR";"Schüßler Salz Nr. 8";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._8_250g.jpg;https://www.vamida.de/schussler-salz-nr-8-natrium-chloratum-250g.html;onSale;Active
AT-P2262371-100G;"Schüßler Salz Nr. 8 Natrium chloratum 100G";"6.86 EUR";"7.75 EUR";2262371;"Essentielles Mineralsalz mit vielseitigen Wirkeigenschaften!";"Schüßler Salz Nr. 8";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Erkältung > Schmerzmittel > Herz-Kreislauf";0;"6.86 EUR";13%;"0.89 EUR";"Schüßler Salz Nr. 8";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._8_100g_1.jpg;https://www.vamida.de/schussler-salz-nr-8-natrium-chloratum-100g.html;onSale;Active
AT-P2262276-250G;"Schüßler Salz Nr. 7 Magnesium phosphoricum 250G";"12.43 EUR";"14.60 EUR";2262276;"Die natürliche Heilkraft der Schüßler Salze nutzen!";"Schüßler Salz Nr. 7";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Körperpflege > Schlaf > Frauengesundheit > Verdauung > Herz-Kreislauf";7;"12.43 EUR";17%;"2.17 EUR";"Schüßler Salz Nr. 7";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._7_250g.jpg;https://www.vamida.de/schussler-salz-nr-7-magnesium-phosphoricum-250g.html;onSale;Active
AT-P2262230-100G;"Schüßler Salz Nr. 7 Magnesium phosphoricum 100G";"6.86 EUR";"7.75 EUR";2262230;"Die natürliche Heilkraft der Schüßler Salze nutzen!";"Schüßler Salz Nr. 7";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Körperpflege > Schlaf > Frauengesundheit > Verdauung > Herz-Kreislauf";5;"6.86 EUR";13%;"0.89 EUR";"Schüßler Salz Nr. 7";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._7_100g_1.jpg;https://www.vamida.de/schussler-salz-nr-7-magnesium-phosphoricum-100g.html;onSale;Active
AT-P2262141-250G;"Schüßler Salz Nr. 6 Kalium sulfuricum 250G";"12.43 EUR";"14.60 EUR";2262141;"Die Sauerstoffversorgung der Zellen unterstützen!";"Schüßler Salz Nr. 6";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Erkältung > leistungssteigernde Mittel > Mundhygiene";7;"12.43 EUR";17%;"2.17 EUR";"Schüßler Salz Nr. 6";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._6_250g.jpg;https://www.vamida.de/schussler-salz-nr-6-kalium-sulfuricum-250g.html;onSale;Active
