ID;"Product name";"Product price";"Product retailer price";PZN;"Product description";"Product short-name";"Product category";"Product stock level";"Product discounted price";"Discount in %";"Discount absolute";"Adwords keywords";"Link to Product image";"Link to Product";Tags;"Active/Not Active"
AT-P2262968-250G;"Schüßler Salz Nr. 12 Calcium sulfuricum 250G";"11.38 EUR";"14.60 EUR";2262968;"Heilenden Eigenschaften der Mineralien nutzen!";"Schüßler Salz Nr. 12";"Schüßler Mineralstoffe > Schüßler-Salze > Erkältung";2;"11.38 EUR";28%;"3.22 EUR";"Schüßler Salz Nr. 12";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._12_250g.jpg;https://www.vamida.at/schussler-salz-nr-12-calcium-sulfuricum-250g.html;onSale;Active
AT-P2262939-100G;"Schüßler Salz Nr. 12 Calcium sulfuricum 100G";"5.03 EUR";"7.75 EUR";2262939;"Heilenden Eigenschaften der Mineralien nutzen!";"Schüßler Salz Nr. 12";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Erkältung";4;"5.03 EUR";54%;"2.72 EUR";"Schüßler Salz Nr. 12";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._12_100g_1.jpg;https://www.vamida.at/schussler-salz-nr-12-calcium-sulfuricum-100g.html;onSale;Active
AT-P2262833-250G;"Schüßler Salz Nr. 11 Silicea 250G";"10.33 EUR";"14.60 EUR";2262833;"Schüssler Salz für Haut, Haare und Nägel";"Schüßler Salz Nr. 11";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Haut Haare & Nägel";10;"10.33 EUR";41%;"4.27 EUR";"Schüßler Salz Nr. 11";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._11_250g.jpg;https://www.vamida.at/schussler-salz-nr-11-silicea-250g.html;onSale;Active
AT-P2262804-100G;"Schüßler Salz Nr. 11 Silicea 100G";"5.03 EUR";"7.75 EUR";2262804;"Schüssler Salz für Haut, Haare und Nägel";"Schüßler Salz Nr. 11";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Haut Haare & Nägel";7;"5.03 EUR";54%;"2.72 EUR";"Schüßler Salz Nr. 11";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._11_100g_1.jpg;https://www.vamida.at/schussler-salz-nr-11-silicea-100g.html;onSale;Active
AT-P2262690-250G;"Schüßler Salz Nr. 10 Natrium sulfuricum 250G";"10.45 EUR";"14.60 EUR";2262690;"Leber mit Schüssler Salzen unterstützen!";"Schüßler Salz Nr. 10";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Abnehmen";4;"10.45 EUR";40%;"4.15 EUR";"Schüßler Salz Nr. 10";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._10_250g.jpg;https://www.vamida.at/schussler-salz-nr-10-natrium-sulfuricum-250g.html;onSale;Active
AT-P2262661-100G;"Schüßler Salz Nr. 10 Natrium sulfuricum 100G";"5.94 EUR";"7.75 EUR";2262661;"Leber mit Schüssler Salzen unterstützen!";"Schüßler Salz Nr. 10";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Abnehmen";5;"5.94 EUR";30%;"1.81 EUR";"Schüßler Salz Nr. 10";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._10_100g_1.jpg;https://www.vamida.at/schussler-salz-nr-10-natrium-sulfuricum-100g.html;onSale;Active
AT-P2262566-250G;"Schüßler Salz Nr. 9 Natrium phosphoricum 250G";"10.45 EUR";"14.60 EUR";2262566;"Das Salz des Stoffwechsels";"Schüßler Salz Nr. 9";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Haut Haare & Nägel > Verdauung > leistungssteigernde Mittel";8;"10.45 EUR";40%;"4.15 EUR";"Schüßler Salz Nr. 9";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._9_250g.jpg;https://www.vamida.at/schussler-salz-nr-9-natrium-phosphoricum-250g.html;onSale;Active
AT-P2262626-100G;"Schüßler Salz Nr. 9 Natrium phosphoricum 100G";"5.94 EUR";"7.75 EUR";2262626;"Das Salz des Stoffwechsels";"Schüßler Salz Nr. 9";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Haut Haare & Nägel > Verdauung > leistungssteigernde Mittel";10;"5.94 EUR";30%;"1.81 EUR";"Schüßler Salz Nr. 9";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._9_100g_1.jpg;https://www.vamida.at/schussler-salz-nr-9-natrium-phosphoricum-100g.html;onSale;Active
AT-P2262402-250G;"Schüßler Salz Nr. 8 Natrium chloratum 250G";"11.89 EUR";"14.60 EUR";2262402;"Essentielles Mineralsalz mit vielseitigen Wirkeigenschaften!";"Schüßler Salz Nr. 8";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Erkältung > Schmerzmittel > Herz-Kreislauf";3;"11.89 EUR";23%;"2.71 EUR";"Schüßler Salz Nr. 8";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._8_250g.jpg;https://www.vamida.at/schussler-salz-nr-8-natrium-chloratum-250g.html;onSale;Active
AT-P2262371-100G;"Schüßler Salz Nr. 8 Natrium chloratum 100G";"5.03 EUR";"7.75 EUR";2262371;"Essentielles Mineralsalz mit vielseitigen Wirkeigenschaften!";"Schüßler Salz Nr. 8";"Naturheilmittel > Schüßler Mineralstoffe > Schüßler-Salze > Erkältung > Schmerzmittel > Herz-Kreislauf";10;"5.03 EUR";54%;"2.72 EUR";"Schüßler Salz Nr. 8";https://www.vamida.at/media/catalog/product/cache/0/image/400x365/9df78eab33525d08d6e5fb8d27136e95/b/i/biochemie_nach_dr._sch_ler_nr._8_100g_1.jpg;https://www.vamida.at/schussler-salz-nr-8-natrium-chloratum-100g.html;onSale;Active
